variant,display_name,macro_auc,accuracy,balanced_accuracy,macro_f1,qwk,nll,brier,ece,macro_auc_ci95_low,macro_auc_ci95_high
gated_token,Complete model,0.9359305555555555,0.8166666666666667,0.7458333333333333,0.7611380637026017,0.896124031007752,0.516912593914554,0.2783171151624727,0.02462964326805567,0.9126742542201725,0.956343877741924
token_no_gates,No gates,0.938048611111111,0.8,0.7208333333333333,0.7266591319653636,0.8916030534351145,0.5054963279190896,0.27673213790273526,0.021667880477777693,0.9159964714216818,0.9578002999956848
token_no_transformer,No Transformer,0.9275381944444445,0.7875,0.7145833333333333,0.7264008593928079,0.8850931677018634,0.5371789447835554,0.3000429052011153,0.03796489837222225,0.903672845155508,0.9493120636634406
token_no_regularizers,No aux./dropout,0.9339618055555556,0.825,0.7749999999999999,0.7845225616939636,0.8985959438377535,0.5283507461173618,0.2751806668900646,0.03532875020972229,0.9087642813460262,0.9562381388890617
