model,macro_auc,macro_auprc,accuracy,balanced_accuracy,macro_f1,qwk,macro_auc_ci95_low,macro_auc_ci95_high
gated_token,0.9359305555555555,0.8160449257707563,0.8166666666666667,0.7458333333333333,0.7611380637026017,0.896124031007752,0.9135799874524151,0.957151272549759
gated_token_clinical_aug,0.9389409722222222,0.8024136247652387,0.8083333333333333,0.7375,0.7416505063563887,0.8936825885978428,0.9170450195725465,0.9591159056056423
ordinal_token,0.92503125,0.7554450877903591,0.6625,0.49375,0.3913405903697166,0.7930574098798397,0.9034558358350517,0.9441826186303854
