,macro_auc,accuracy,parameter_efficiency,memory_efficiency,runtime_efficiency
Early fusion,0.9242326388888888,0.775,1.0,1.0,0.6709098423529336
Late fusion,0.9291597222222222,0.7875,0.3300721647624711,0.38046769577633427,1.0
Gated tokens,0.9359305555555556,0.8166666666666667,0.3144589213956043,0.36932912138994134,0.8979235371709818
HAMM reproduction,0.9042013888888888,0.7208333333333333,0.047128394383486066,0.0775196411759915,0.17381714976566154
