available_modalities,macro_auc,accuracy,macro_f1
SLO+OCT+VF,0.9359305555555555,0.8166666666666667,0.7611380637026017
SLO+OCT,0.8117326388888888,0.6541666666666667,0.4818270603260461
SLO+VF,0.9270555555555555,0.8083333333333333,0.7493133733414233
OCT+VF,0.9293159722222223,0.8,0.7441459270543422
SLO,0.7742881944444444,0.625,0.39864789263504075
OCT,0.8019791666666667,0.5791666666666667,0.3696260683760684
VF,0.9094097222222222,0.7916666666666666,0.7284331400829562
