model,parameters,training_seconds_mean,peak_gpu_mb_mean,note
early_fusion,11197380,334.80413993199664,360.7919921875,
late_fusion,33924036,224.6233927408854,948.2854817708334,
gated_token,35608403,250.15870889027914,976.884765625,
official_hamm,237593072,1292.297066450119,4654.201009114583,
