model,seed,best_epoch,parameters,peak_gpu_mb,training_seconds,validation.auc_macro_ovr,validation.accuracy,validation.balanced_accuracy,validation.f1_macro,validation.quadratic_kappa,validation.nll,validation.brier_multiclass,validation.ece10,test.auc_macro_ovr,test.accuracy,test.balanced_accuracy,test.f1_macro,test.quadratic_kappa,test.nll,test.brier_multiclass,test.ece10
token_no_gates,17,1,35608403,971.6474609375,206.97861981391907,0.9207361111111112,0.7666666666666667,0.7166666666666668,0.723620136440971,0.8856682769726248,0.5775858759880066,0.3220218865925284,0.05202827130754786,0.916875,0.7625,0.6937500000000001,0.7080529215754477,0.8654781199351702,0.5896278023719788,0.32144170075549333,0.06567683853209016
token_no_gates,29,7,35608403,973.66357421875,505.447726726532,0.9161423611111111,0.7458333333333333,0.69375,0.7008887186482815,0.8751974723538705,0.7062414884567261,0.3714457454691831,0.1630327552556991,0.9420416666666667,0.8,0.7208333333333334,0.7337770671104005,0.882800608828006,0.5707659125328064,0.300575632961896,0.09685525906582672
token_no_gates,43,1,35608403,974.85888671875,189.47759866714478,0.9249756944444445,0.7375,0.6520833333333333,0.6399926900234202,0.8895434462444771,0.5727184414863586,0.3308151692259281,0.08220903078715004,0.9175798611111111,0.775,0.6833333333333333,0.685764088661134,0.8731563421828908,0.6102348566055298,0.33230338166723317,0.08339017604788146
token_no_transformer,17,6,35608403,957.91796875,335.8889217376709,0.8919097222222222,0.7291666666666666,0.6479166666666667,0.6682661270896565,0.8298217179902755,0.7553438544273376,0.4039195963648528,0.1358387658993403,0.9016215277777778,0.7583333333333333,0.7,0.7087984553355409,0.8621236133122029,0.7083133459091187,0.3838457828915919,0.12380704159537953
token_no_transformer,29,5,35608403,957.91796875,388.1874635219574,0.9144409722222222,0.7791666666666667,0.70625,0.7284647229181103,0.891025641025641,0.5859777927398682,0.3204225614573993,0.04679598659276964,0.9291041666666666,0.7916666666666666,0.725,0.7415320910973084,0.8793650793650793,0.5348857641220093,0.2964913979045119,0.06792448572814468
token_no_transformer,43,1,35608403,957.91796875,197.82705807685852,0.9165659722222221,0.7708333333333334,0.6895833333333334,0.6971045187462094,0.8945783132530121,0.588932454586029,0.32243175156306997,0.01749233131607372,0.9179583333333333,0.7583333333333333,0.6708333333333334,0.6744080986035104,0.8644578313253012,0.6023780703544617,0.3310805048129325,0.03550856473545234
token_no_regularizers,17,6,35608403,975.95703125,352.56092524528503,0.9158819444444444,0.75,0.7166666666666667,0.7223322954037772,0.8807631160572337,0.7091461420059204,0.3647196832717879,0.15078535713255403,0.9373159722222223,0.7958333333333333,0.7645833333333334,0.7582422150789757,0.8962264150943396,0.6201210021972656,0.3023237619089316,0.10202951927979788
token_no_regularizers,29,1,35608403,975.95703125,255.66249918937683,0.9144791666666666,0.725,0.6708333333333333,0.6697923862941524,0.8726655348047538,0.6606230139732361,0.3784292650701653,0.03720709482828776,0.9083090277777779,0.7375,0.6895833333333334,0.698956909693847,0.8657718120805369,0.6625171899795532,0.36163294237190385,0.04338504647215208
token_no_regularizers,43,1,35608403,975.95703125,193.86047744750977,0.9290729166666667,0.7875,0.7270833333333333,0.722429172704126,0.8902439024390244,0.539193332195282,0.3019399788248828,0.04704802160461741,0.9176874999999999,0.8041666666666667,0.7395833333333333,0.7481175600534156,0.8827160493827161,0.5687171816825867,0.3045960947139742,0.04968512989580632
